code,description
270710,Oils and products of the distillation of high temperature coal tar: benzol (benzene)
270720,Oils and products of the distillation of high temperature coal tar: toluol (toluene)
270730,Oils and products of the distillation of high temperature coal tar: xylol (xylenes)
270740,Oils and products of the distillation of high temperature coal tar: naphthalene
270750,"Aromatic hydrocarbon mixtures: n.e.c. in heading no. 2707, of which 65% or more by volume (including losses) distils at 250 degrees Celsius by the ISO 3405 method (equivalent to the ASTM D 86 method)"
270791,Oils and other products of the distillation of high temperature coal tar: creosote oils
270799,Oils and other products of the distillation of high temperature coal tar: n.e.c. in heading no. 2707
270810,Pitch: obtained from coal tar or from other mineral tars
270820,Pitch coke: obtained from coal tar or from other mineral tars
270900,"Oils: petroleum oils and oils obtained from bituminous minerals, crude"
271000,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
271111,"Petroleum gases and other gaseous hydrocarbons: liquefied, natural gas"
271112,"Petroleum gases and other gaseous hydrocarbons: liquefied, propane"
271113,"Petroleum gases and other gaseous hydrocarbons: liquefied, butanes"
271114,"Petroleum gases and other gaseous hydrocarbons: liquefied, ethylene, propylene, butylene and butadiene"
271119,"Petroleum gases and other gaseous hydrocarbons: liquefied, n.e.c. in heading no. 2711"
271121,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, natural gas"
271129,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, other than natural gas"
271210,Petroleum jelly
271220,"Paraffin wax: containing by weight less than 0.75% of oil, obtained by synthesis or by other processes, whether or not coloured"
271290,"Paraffin wax: containing by weight 0.75% or more of oil, obtained by synthesis or by other processes, whether or not coloured"
271311,"Petroleum coke: (not calcined), obtained from bituminous minerals"
271312,"Petroleum coke: calcined, obtained from bituminous minerals"
271320,Petroleum bitumen: obtained from bituminous minerals
271390,Residues: of petroleum oils or of oils obtained from bituminous minerals
271410,Bituminous or oil shale and tar sands
271490,"Bitumen and asphalt, natural: asphaltites and asphaltic rock"
271500,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (e.g. bituminous mastics, cut-backs)"
271600,Electrical energy
280110,Chlorine
280120,Iodine
280130,Fluorine: bromine
280200,"Sulphur: sublimed or precipitated, colloidal sulphur"
280300,Carbon: carbon blacks and other forms of carbon n.e.c.
280410,Hydrogen
280421,"Gases, rare: argon"
280429,"Gases, rare: other than argon"
280430,Nitrogen
280440,Oxygen
280450,Boron: tellurium
280461,Silicon: containing by weight not less than 99.99% of silicon
280469,Silicon: containing by weight less than 99.99% of silicon
280470,Phosphorus
280480,Arsenic
280490,Selenium
280511,Alkali or alkali-earth metals: sodium
280512,Alkali or alkali-earth metals: calcium
280519,Alkali or alkali-earth metals: other than sodium and calcium
280530,"Earth-metals, rare: scandium and yttrium, whether or not intermixed or interalloyed"
280540,Mercury
280610,Hydrogen chloride (hydrochloric acid)
280620,Chlorosulphuric acid
280700,Sulphuric acid: oleum
280800,Nitric acid: sulphonitric acids
280910,Diphosphorus pentoxide
280920,Phosphoric acid and polyphosphoric acids
281000,Oxides of boron: boric acids
281111,Hydrogen fluoride (hydrofluoric acid)
281112,Hydrogen cyanide (hydrocyanic acid)
281119,Inorganic acids: other than hydrogen fluoride
281121,Carbon dioxide
281122,Silicon dioxide
281129,"Inorganic oxygen compounds: of non-metals, n.e.c. in item no. 2811.2"
281211,Carbonyl dichloride (phosgene)
281212,Phosphorus oxychloride
281213,Phosphorus trichloride
281214,Phosphorus pentachloride
281215,Sulphur monochloride
281216,Sulphur dichloride
281217,Thionyl chloride
281219,"Arsenic trichloride and other chlorides and chloride oxides, n.e.c. in item no. 2812"
281290,Halides and halide oxides of non-metals: excluding chloride
281310,Carbon disulphide
281390,"Sulphides of non-metals, (excluding carbon): commercial phosphorus trisulphide"
281410,Ammonia: anhydrous
281420,Ammonia: in aqueous solution
281511,Sodium hydroxide (caustic soda): solid
281512,Sodium hydroxide (caustic soda): in aqueous solution (soda lye or liquid soda)
281520,Potassium hydroxide (caustic potash)
281530,Peroxides of sodium or potassium
281610,Hydroxide and peroxide of magnesium
281640,"Oxides, hydroxides and peroxides, of strontium or barium"
281700,Zinc: oxide and peroxide
281810,Aluminium oxide: artificial corundum
281820,Aluminium oxide: other than artificial corundum
281830,Aluminium hydroxide
281910,Chromium trioxide
281990,Chromium oxides and hydroxides: excluding chromium trioxide
282010,Manganese dioxide
282090,Manganese oxides: excluding manganese dioxide
282110,Iron oxides and hydroxides
282120,Earth colours: containing 70% or more by weight of combined iron evaluated as Fe2o3
282200,Cobalt oxides and hydroxides: commercial cobalt oxides
282300,Titanium oxides
282410,"Lead: lead monoxide (litharge, massicot)"
282490,Lead oxides: n.e.c. in heading no. 2824
282510,Hydrazine and hydroxylamine and their inorganic salts
282520,Lithium oxide and hydroxide
282530,Vanadium oxides and hydroxides
282540,Nickel oxides and hydroxides
282550,Copper oxides and hydroxides
282560,Germanium oxides and zirconium dioxide
282570,Molybdenum oxides and hydroxides
282580,Antimony oxides
282590,"Inorganic bases, metal oxides, hydroxides and peroxides: n.e.c. in heading no. 2825"
282612,Fluorides: of aluminium
282619,Fluorides: other than of aluminium
282630,Sodium hexafluoroaluminate (synthetic cryolite)
282690,"Fluorides: fluorosilicates, fluoroaluminates and other complex fluorine salts, n.e.c. in heading no. 2826"
282710,Chlorides: of ammonium
282720,Chlorides: of calcium
282731,Chlorides: of magnesium
282732,Chlorides: of aluminium
282735,Chlorides: of nickel
282739,"Chlorides: other than of ammonium, calcium, magnesium, aluminium and nickel"
282741,Chloride oxides and chloride hydroxides: of copper
282749,Chloride oxides and chloride hydroxides: other than of copper
282751,Bromides: of sodium or of potassium
282759,Bromides and bromide oxides: other than item no. 2827.51
282760,Iodides and iodide oxides
282810,Hypochlorites: commercial calcium hypochlorite and other calcium hypochlorites
282890,Hypochlorites: n.e.c. in heading no. 2828
282911,Chlorates: of sodium
282919,Chlorates: other than sodium
282990,Perchlorates: bromates and perbromates: iodates and periodates
283010,"Sulphides: of sodium, whether or not chemically defined"
283090,"Sulphides and polysulphides: whether or not chemically defined, other than sulphides of sodium"
283110,Dithionites and sulphoxylates: of sodium
283190,Dithionites and sulphoxylates: other than sodium
283210,Sulphites: of sodium
283220,Sulphites: other than of sodium
283230,Thiosulphates
283311,Sodium sulphates: disodium sulphate
283319,Sodium sulphates: other than disodium sulphate
283321,Sulphates: of magnesium
283322,Sulphates: of aluminium
283324,Sulphates: of nickel
283325,Sulphates: of copper
283327,Sulphates: of barium
283329,Sulphates: n.e.c. in item no. 2833.2
283330,Alums
283340,Peroxosulphates (persulphates)
283410,Nitrites
283421,Nitrates: of potassium
283429,Nitrates: of other than potassium
283510,"Phosphinates (hypophosphites) and phosphonates (phosphites), whether or not chemically defined"
283522,"Phosphates: of mono- or disodium, whether or not chemically defined"
283524,"Phosphates: of potassium, whether or not chemically defined"
283525,"Phosphates: calcium hydrogenorthophosphate (dicalcium phosphate), whether or not chemically defined"
283526,"Phosphates: of calcium n.e.c. in item no. 2835.25, whether or not chemically defined"
283529,"Phosphates: (other than of mono- or disodium, other than of potassium or of calcium hydrogenorthophosphate (dicalcium phosphate) and excluding other phosphates of calcium), whether or not chemically defined"
283531,"Polyphosphates: sodium triphosphate (sodium tripolyphosphate), whether or not chemically defined"
283539,"Polyphosphates: other than sodium triphosphate (sodium tripolyphosphate), whether or not chemically defined"
283620,Carbonates: disodium carbonate
283630,Carbonates: sodium hydrogen carbonate (sodium bicarbonate)
283640,Carbonates: potassium carbonate
283650,Carbonates: calcium carbonate
283660,Carbonates: barium carbonate
283691,Carbonates: lithium carbonate
283692,Carbonates: strontium carbonate
283699,Carbonates: n.e.c. in heading no. 2836 and other than lithium or strontium
283711,Cyanides and cyanide oxides: of sodium
283719,Cyanides and cyanide oxides: other than of sodium
283720,Complex cyanides
283911,Silicates: sodium metasilicates
283919,Silicates: of sodium (excluding sodium metasilicates)
283990,"Silicates: commercial alkali metal silicates, other than of sodium"
284011,"Borates: disodium tetraborate (refined borax), anhydrous"
284019,"Borates: disodium tetraborate (refined borax), other than anhydrous"
284020,Borates: n.e.c. in heading no. 2840
284030,Peroxoborates (perborates)
284130,Salts: sodium dichromate
284150,"Salts: chromates, dichromates, peroxochromates: n.e.c. in heading no. 2841"
284161,"Salts: of oxometallic or peroxometallic acids, manganites, manganates and permanganates, potassium permanganate"
284169,"Salts: of oxometallic or peroxometallic acids, manganites, manganates and permanganates, other than potassium permanganate"
284170,Salts: molybdates
284180,Salts: tungstates (wolframates)
284190,Salts of oxometallic or peroxometallic acids: n.e.c. in heading no. 2841
284210,"Salts of inorganic acids or peroxoacids, double or complex silicates, including aluminosilicates, whether or not chemically defined, excluding azides"
284290,"Salts: of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides"
284310,Colloidal precious metals: whether or not chemically defined
284321,Silver compounds: silver nitrates
284329,Silver compounds: excluding silver nitrates
284330,Gold compounds
284390,"Inorganic or organic compounds of precious metals, n.e.c.: amalgams"
284410,"Uranium: natural uranium and its compounds, alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds"
284420,"Uranium: enriched in U235, plutonium, their compounds, alloys dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products"
284430,"Uranium: depleted in U235, thorium, their compounds, alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U235, thorium: compounds of these products"
284441,"Radioactive elements: tritium and its compounds: alloys, dispersions (including cermets), ceramic products and mixtures containing tritium or its compounds"
284442,"Radioactive elements: actinium-225, 227, californium-253, curium-240, 241, 242, 243, 244, einsteinium-253, 254, gadolinium-148, polonium-208, 209, 210, radium-223, uranium-230 or 232, compounds: alloys, dispersions, ceramic products and mixtures"
284443,"Radioactive elements, isotopes and compounds: other alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds"
284444,"Radioactive elements, isotopes, compounds n.e.c. in heading no. 2844, alloys, dispersions (including cermets), ceramic products, mixtures containing the elements, isotopes, compounds: radioactive residues"
284450,Spent (irradiated) fuel elements (cartridges) of nuclear reactors
284510,Heavy water (deuterium oxide)
284520,Boron enriched in boron-10 and its compounds
284530,Lithium enriched in lithium-6 and its compounds
284540,Helium-3
284590,"Isotopes other than those of heading no. 2844, 2845.20, 2845.30 or 2845.40: compounds, inorganic or organic, of such isotopes, whether or not chemically defined"
284610,Cerium compounds
284690,"Compounds, inorganic or organic (excluding cerium), of rare-earth metals, of yttrium, scandium or of mixtures of these metals"
284700,Hydrogen peroxide: whether or not solidified with urea
284910,"Carbides: of calcium, whether or not chemically defined"
284920,"Carbides: of silicon, whether or not chemically defined"
284990,"Carbides: whether or not chemically defined, other than of calcium or silicon"
285000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading no. 2849"
285210,"Inorganic or organic compounds of mercury, excluding amalgams, chemically defined"
285290,"Inorganic or organic compounds of mercury: excluding amalgams, not chemically defined,"
285310,Inorganic compounds: cyanogen chloride (chlorcyan)
285390,"Phosphides, chemically defined or not, not ferrophosphorus: other inorganic compounds n.e.c. (including distilled, conductivity water and water of like purity): liquid air, rare gases removed or not: compressed air: amalgams, not precious metal amalgams"
290110,Acyclic hydrocarbons: saturated
290121,"Acyclic hydrocarbons: unsaturated, ethylene"
290122,"Acyclic hydrocarbons: unsaturated, propene (propylene)"
290123,"Acyclic hydrocarbons: unsaturated, butene (butylene) and isomers thereof"
290124,"Acyclic hydrocarbons: unsaturated, buta-1,3-diene and isoprene"
290129,"Acyclic hydrocarbons: unsaturated, n.e.c. in heading no. 2901"
290211,Cyclic hydrocarbons: cyclohexane
290219,"Cyclic hydrocarbons: cyclanes, cyclenes and cycloterpenes, excluding cyclohexane"
290220,Cyclic hydrocarbons: benzene
290230,Cyclic hydrocarbons: toluene
290241,Cyclic hydrocarbons: o-xylene
290242,Cyclic hydrocarbons: m-xylene
290243,Cyclic hydrocarbons: p-xylene
290244,Cyclic hydrocarbons: mixed xylene isomers
290250,Cyclic hydrocarbons: styrene
290260,Cyclic hydrocarbons: ethylbenzene
290270,Cyclic hydrocarbons: cumene
290290,Cyclic hydrocarbons: n.e.c. in heading no. 2902
290311,Saturated chlorinated derivatives of acyclic hydrocarbons: chloromethane (methyl chloride) and chloroethane (ethyl chloride)
290312,Saturated chlorinated derivatives of acyclic hydrocarbons: dichloromethane (methylene chloride)
290313,Saturated chlorinated derivatives of acyclic hydrocarbons: chloroform (trichloromethane)
290314,Saturated chlorinated derivatives of acyclic hydrocarbons: carbon tetrachloride
290315,"Saturated chlorinated derivatives of acyclic hydrocarbons: ethylene dichloride (ISO) (1,2-dichloroethane)"
290319,Saturated chlorinated derivatives of acyclic hydrocarbons: n.e.c. in item no. 2903.1
290321,Unsaturated chlorinated derivatives of acyclic hydrocarbons: vinyl chloride (chloroethylene)
290322,Unsaturated chlorinated derivatives of acyclic hydrocarbons: trichloroethylene
290323,Unsaturated chlorinated derivatives of acyclic hydrocarbons: tetrachloroethylene (perchloroethylene)
290329,Unsaturated chlorinated derivatives of acyclic hydrocarbons: n.e.c. in item no. 2903.2
290341,Saturated fluorinated derivatives of acyclic hydrocarbons: trifluoromethane (HFC-23)
290342,Saturated fluorinated derivatives of acyclic hydrocarbons: difluoromethane (HFC-32)
290343,"Saturated fluorinated derivatives of acyclic hydrocarbons: fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)"
290344,"Saturated fluorinated derivatives of acyclic hydrocarbons: pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)"
290345,"Saturated fluorinated derivatives of acyclic hydrocarbons: 1,1,1,2-tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC-134)"
290346,"Saturated fluorinated derivatives of acyclic hydrocarbons: 1,1,1,2,3,3,3-heptafluoropropane (HFC-227ea), 1,1,1,2,2,3-hexafluoropropane (HFC-236cb), 1,1,1,2,3,3-hexafluoropropane (HFC-236ea) and 1,1,1,3,3,3-hexafluoropropane (HFC-236fa)"
290347,"Saturated fluorinated derivatives of acyclic hydrocarbons: 1,1,1,3,3-pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca)"
290348,"Saturated fluorinated derivatives of acyclic hydrocarbons: 1,1,1,3,3-pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)"
290349,Saturated fluorinated derivatives of acyclic hydrocarbons: n.e.c. in item no 2903.4
290351,"Unsaturated fluorinated derivatives of acyclic hydrocarbons: 2,3,3,3-tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)"
290359,Unsaturated fluorinated derivatives of acyclic hydrocarbons: n.e.c. in item no. 2903.5
290361,Brominated or iodinated derivatives of acyclic hydrocarbons: methyl bromide (bromomethane)
290362,"Brominated or iodinated derivatives of acyclic hydrocarbons: ethylene dibromide (ISO) (1,2-dibromoethane)"
290369,Brominated or iodinated derivatives of acyclic hydrocarbons: n.e.c. in item no. 2903.6
290371,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: chlorodifluoromethane (HCFC-22)
290372,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: dichlorotrifluoroethane (HCFC-123)
290373,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: dichlorofluoroethanes (HCFC-141, 141b)"
290374,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: chlorodifluoroethanes HCFC-142, 142b)"
290375,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: dichloropentafluoropropanes (HCFC-225, 225ca, 225cb)"
290376,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: bromochlorodifluoromethane (Halon-1211), bromotrifluoromethane (Halon-1301), and dibromotetrafluoroethanes (Halon-2402)"
290377,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: n.e.c. in headings 290371 to 290376, perhalogenated only with fluorine and chlorine"
290378,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: perhalogenated derivatives, other than those only with fluorine and chlorine, n.e.c. in item no. 2903.71 to 2903.76"
290379,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens: n.e.c. in item no. 2903.7
290381,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: 1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)"
290382,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: aldrin (ISO), chlordane (ISO), and heptachlor (ISO)"
290383,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: mirex (ISO)"
290389,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: n.e.c. in item no. 2903.8"
290391,"Halogenated derivatives of aromatic hydrocarbons: chlorobenzene, o-dichlorobenzene, and p-dichlorobenzene"
290392,"Halogenated derivatives of aromatic hydrocarbons: hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), and 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)"
290393,Halogenated derivatives of aromatic hydrocarbons: pentachlorobenzene (ISO)
290394,Halogenated derivatives of aromatic hydrocarbons: hexabromobiphenyls
290399,"Halogenated derivatives of aromatic hydrocarbons: n.e.c. in item no. 2903.91, 2903.92, 2903.93 and 2903.94"
290410,"Derivatives of hydrocarbons: containing only sulpho groups, their salts and ethyl esters, whether or not halogenated"
290420,"Derivatives of hydrocarbons: containing only nitro or only nitroso groups, whether or not halogenated"
290431,"Derivatives of hydrocarbons: perfluorooctane sulphonic acid, whether or not halogenated"
290432,"Derivatives of hydrocarbons: ammonium perfluorooctane sulphonate, whether or not halogenated"
290433,"Derivatives of hydrocarbons: lithium perfluorooctane sulphonate, whether or not halogenated"
290434,"Derivatives of hydrocarbons: potassium perfluorooctane sulphonate, whether or not halogenated"
290435,"Derivatives of hydrocarbons: salts of perfluorooctane sulphonic acid n.e.c in heading no. 2904, whether or not halogenated"
290436,"Derivatives of hydrocarbons: perfluorooctane sulphonyl fluoride, whether or not halogenated"
290491,"Derivatives of hydrocarbons: trichloronitromethane (chloropicrin), whether or not halogenated"
290499,"Derivatives of hydrocarbons n.e.c. in heading no. 2904, whether or not halogenated"
290511,"Alcohols: saturated monohydric, methanol (methyl alcohol)"
290512,"Alcohols: saturated monohydric, propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)"
290513,"Alcohols: saturated monohydric, butan-1-ol (n-butyl alcohol)"
290514,"Alcohols: saturated monohydric, butanols excluding item no. 2905.13"
290516,"Alcohols: saturated monohydric, octanol (octyl alcohol) and isomers thereof"
290517,"Alcohols: saturated monohydric, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)"
290519,"Alcohols: saturated monohydric, n.e.c. in item no. 2905.1"
290522,"Alcohols: unsaturated monohydric, acyclic terpene alcohols"
290529,"Alcohols: acyclic, unsaturated monohydric, (other than acyclic terpene alcohols)"
290531,"Alcohols: acyclic, diols: ethylene glycol (ethanediol)"
290532,"Alcohols: acyclic, diols: propylene glycol (propane-1, 2-diol)"
290539,"Alcohols: acyclic, diols, other than ethylene glycol (ethandiol) or propylene glycol (propane-1,2-diol)"
290541,"Alcohols: polyhydric, 2-ethyl-2- (hydroxymethyl) propane-1,3-diol (trimethylolpropane)"
290542,"Alcohols: polyhydric, pentaerythritol"
290543,"Alcohols: polyhydric, mannitol"
290544,"Alcohols: polyhydric, d-glucitol (sorbitol)"
290545,"Alcohols: polyhydric, glycerol"
290549,"Alcohols: polyhydric, n.e.c. in item no. 2905.4"
290551,"Alcohols: acyclic: halogenated, sulphonated, nitrated or nitrosated derivatives thereof, ethchlorvynol (INN)"
290559,"Alcohols: acyclic: halogenated, sulphonated, nitrated or nitrosated derivatives thereof, other than ethchlorvynol (INN)"
290611,"Alcohols: cyclanic, cyclenic or cycloterpenic and derivatives, menthol"
290612,"Alcohols: cyclanic, cyclenic or cycloterpenic and derivatives, cyclohexanol, methylcyclohexanols and dimethylcyclohexanols"
290613,"Alcohols: cyclanic, cyclenic or cycloterpenic and derivatives, sterols and inositols"
290619,"Alcohols: cyclanic, cyclenic or cycloterpenic and derivatives, n.e.c. in item no. 2906.1"
290621,"Alcohols: aromatic alcohols and derivatives, benzyl alcohol"
290629,"Alcohols: aromatic and derivatives, other than benzyl alcohol"
290711,Monophenols: phenol (hydroxybenzene) and its salts
290712,Monophenols: cresols and their salts
290713,"Monophenols: octylphenol, nonylphenol and their isomers, salts thereof"
290715,Monophenols: naphthols and their salts
290719,Monophenols: n.e.c. in item no. 2907.1
290721,Polyphenols: resorcinol and its salts
290722,Polyphenols: hydroquinone (quinol) and its salts
290723,"Polyphenols: 4,4'-isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts"
290729,Phenol-alcohols and polyphenols n.e.c. in item number 2907.2
290811,Phenol or phenol-alcohol derivatives containing only halogen substituents and their salts: pentachlorophenol (ISO)
290819,Phenol or phenol-alcohol derivatives containing only halogen substituents and their salts: other than pentachlorophenol (ISO)
290891,"Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof: dinoseb (ISO) and its salts"
290892,"Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof: 4,6-dinitro-o-cresol (DNOC (ISO)) and its salts"
290899,"Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof: other than dinoseb (ISO), and 4,6-dinitro-o-cresol (DNOC (ISO)), and their salts"
290911,"Ethers: acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, diethyl ether"
290919,"Ethers: acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, other than diethyl ether"
290920,"Ethers: cyclanic, cyclenic or cycloterpenic and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290930,"Ethers: aromatic, and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290941,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives: 2,2-oxydiethanol (diethylene glycol, digol)"
290943,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives: monobutyl ethers of ethylene glycol or of diethylene glycol"
290944,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives: monoalkylethers of ethylene glycol or of diethylene glycol n.e.c. in heading no. 2909"
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives: n.e.c. in item no. 2909.4"
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290960,"Alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives"
291010,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers: with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives: oxirane (ethylene oxide)"
291020,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers: with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, methyloxirane (propylene oxide)"
291030,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers: with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, 1-chloro-2,3-epoxypropane (epichlorohydrin)"
291040,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers: with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, dieldrin (ISO, INN)"
291050,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers: with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, endrin (ISO)"
291090,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers: with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2910"
291100,"Acetals and hemiacetals: whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives"
291211,"Aldehydes: acyclic, without other oxygen function, methanal (formaldehyde)"
291212,"Aldehydes: acyclic, without other oxygen function, ethanal (acetaldehyde)"
291219,"Aldehydes: acyclic, without other oxygen function, n.e.c. in item no. 2912.1"
291221,"Aldehydes: cyclic, without other oxygen function, benzaldehyde"
291229,"Aldehydes: cyclic, without other oxygen function, other than benzaldehyde"
291241,"Aldehydes: aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function, vanillin (4-hydroxy-3-methoxybenzaldehyde)"
291242,"Aldehydes: aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function, ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)"
291249,"Aldehyde-alcohols, aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function: other than vanillin (4-hydroxy-3-methoxybenzaldehyde) and ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)"
291250,Aldehydes: cyclic polymers of aldehydes
291260,Paraformaldehyde
291300,"Aldehydes: halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading no. 2912"
291411,"Ketones: acyclic, without other oxygen function, acetone"
291412,"Ketones: acyclic, without other oxygen function, butanone (methyl ethyl ketone)"
291413,"Ketones: acyclic, without other oxygen function, 4-methylpentan-2-one (methyl isobutyl ketone)"
291419,"Ketones: acyclic, without other oxygen function, n.e.c. in item no. 2914.1"
291422,"Ketones: cyclanic, cyclenic or cycloterpenic, without other oxygen function, cyclohexanone and methylcyclohexanones"
291423,"Ketones: cyclanic, cyclenic or cycloterpenic, without other oxygen function, ionones and methylionones"
291429,"Ketones: cyclanic, cyclenic or cycloterpenic, without other oxygen function, other than cyclohexanone, methylcyclohexanones, ionones, and methylionones"
291431,"Ketones: aromatic, (without other oxygen function), phenylacetone (phenylpropan-2-one)"
291439,"Ketones: aromatic, (without other oxygen function), excluding phenylacetone (phenylpropan-2-one)"
291440,Ketone-alcohols and ketone-aldehydes
291450,Ketone-phenols and ketones with other oxygen function
291461,Quinones: anthraquinone
291462,Quinones: coenzyme Q10 (ubidecarenone (INN))
291469,Quinones: other than anthraquinone and coenzyme Q10 (ubidecarenone (INN))
291471,"Ketones and quinones: halogenated, sulphonated, nitrated or nitrosated derivatives: chlordecone (ISO)"
291479,"Ketones and quinones: halogenated, sulphonated, nitrated or nitrosated derivatives, other than chlordecone (ISO)"
291511,Acids: saturated acyclic monocarboxylic acids: formic acid
291512,Acids: saturated acyclic monocarboxylic acids: salts of formic acids
291513,Acids: saturated acyclic monocarboxylic acids: esters of formic acid
291521,Acids: saturated acyclic monocarboxylic acids: acetic acid
291524,Acids: saturated acyclic monocarboxylic acids: acetic anhydride
291529,Acids: saturated acyclic monocarboxylic acids: acetic acid and its salts n.e.c. in item no. 2915.2
291531,Acids: saturated acyclic monocarboxylic acids: ethyl acetate
291532,Acids: saturated acyclic monocarboxylic acids: vinyl acetate
291533,Acids: saturated acyclic monocarboxylic acids: n-butyl acetate
291536,Acids: saturated acyclic monocarboxylic acids: dinoseb (ISO) acetate
291539,Acids: saturated acyclic monocarboxylic acids: esters of acetic acid n.e.c. in item no. 2915.3
291540,"Acids: saturated acyclic monocarboxylic acids: mono-, di- or trichloroacetic acids, their salts and esters"
291550,"Acids: saturated acyclic monocarboxylic acids: propionic acid, its salts and esters"
291560,"Acids: saturated acyclic monocarboxylic acids: butanoic acids, pentanoic acids, their salts and esters"
291570,"Acids: saturated acyclic monocarboxylic acids: palmitic acid, stearic acid, their salts and esters"
