content,Relevance,Value Item 1-  Violating,Value Item 2 - Violating,Values Violating Outside Schwartz,Value Item - 2 Supporting,Values Supporting Outside Schwartz,Keyword Identified for categorizatin of value(s),Phrases Identified for categorization of value(s)
The idea is ok. Poor execution. Information and advice is very hard to follow and is just a collection of links. ABC does a better job with information. Uninstalled.,,,,,,,,
"Advice out of date, e.g. saying limit for outdoor gatherings is 500. Quite misleading. News items need to be sorted from latest backwards, not alphabetical.",,,,,,,,
Not impressed. Seemed pointless and immediately uninstalled. It seems obvious to me what you would do with an app like this but none of it was done.,,,,,,,,
Very basic functionality. Info on heath website.,,,,,,,,
Basically a list of hyperlinks,,,,,,,,
App doesn't have the latest info. Better just search for news online,,,,,,,,
Installed. Looked. Uninstalled. Pretty pointless.,,,,,,,,
"We get push notifications sharing information, but only displaying the first few words - for example today was stay home during easter. When tapped on to open, it just opens the app to the main page and the information is no where to be found, not even in the tabs. This has happened several times si...
 Full Review",,,,,,,,
"It a good but contrived app, biggest issue is you get taken to a boring front page, and if you get sent notifications and think ""that looks interesting ill click and read that"" it just takes you to this boring front page and you have to find it yourself by clicking all the boxes to find it",,,,,,,,
Confusing and unhelpful. I accidentally registered for self isolation because the description was unclear.,,,,,,,,
"An app to go to your browser, what a waste of time",,,,,,,,
Doesn't give much information at all. Most links that are included simply go round in circles without providing specific information. Better to search on the net yourself.,,,,,,,,
Takes forever to download. Been trying for 2 days now.,,,,,,,,
Please add a prominent link to the covidsafe app.,,,,,,,,
I downloaded it but still do not know if it is actually working.,,,,,,,,
Update too late every day,,,,,,,,
It basically just links to the website and sends you notifications sometimes. Yeah it's useful to have the updates at a time like this but a little bit of effort would have been nice.,,,,,,,,
Not the new tracker app i was seeking,,,,,,,,
This app crippled my ph speed. I had to remove it from my Pixel it made it run so slowly.,,,,,,,,
Not very helpful for someone who can also use Google to find information,,,,,,,,
Worst Game EVER!!!,,,,,,,,
"No way to contact developers from app so I'm putting this here. When I'm alerted of a notification, clicking it should take me to the corresponding detail in the app. The current notification feature is useless.",,,,,,,,
Very light on for relevant and up to date information. You're better off just Googling what you want.,,,,,,,,
Thought it was worth looking into the figures every day but now has completely stopped working nil updates since 17/4 this is now 3 days with updates.,,,,,,,,
This app was good but now unable to open anything in it now. Just tells me unable to open. Disappointed.,,,,,,,,
Pretty vacuous data aggregator.,,,,,,,,
"Just text is where the latest infections are, the street,suburb , date of infection..so we will be extra careful..",,,,,,,,
"Just a poorly made portal to poorly made websites. You can get better explained, more timely info from news apps or updates by following your local authorities on Twitter. As for the potential for tracking - sorry, but elections have consequences. Australia chose a Gov with a documented history of l...
 Full Review",,,,,,,,
U can't register your details,,,,,,,,
Why only have total confirmed cases when looking at stats? A more relevant dataset would include active cases so people can see accurately how their state is doing.,,,,,,,,
Everything you need to know is available with a simple Google search. This app isn't really needed,,,,,,,,
It's just links to the gov websites..,,,,,,,,
It's states 'unable to load lastest updates. Pushing 'try again doesnt work'. I've reinstalled it and same problem. Thanks for creating an app even if it's a mobile wrapper at short notice. I've got WhatsApp information working so that still helpful.,,,,,,,,
Fails to open link ??,,,,,,,,
Links to websites aren't helpful. We need a good implementation of this app that gives us information that we need to know in a digestible manner.,,,,,,,,
Really doesn't have anything useful in app that cannot be found on a website. Just adds to the information overload.,Directly Relevant,Helpful,,Information overload,,,Useful,doesn't have anything useful in app
Collection of links to webpages. I added them to my browser then deleted the app..,Directly Relevant,Helpful,,Information overload,,,deleted the app.., I added them [links] to my browser then deleted the app..
Never have received the pin to open it,Directly Relevant,Sense of belonging,,,,,Never received,Never have received the pin
Mostly disappointed that in all government media announcements they just say 'download the app' without specifying the name of the app clearly. There are several COVID-19 apps out there now. Give it a distinctive name.,Directly Relevant,,,Neat information,,,without specifying the name of the app clearly. There are several COVID-19 apps out there now.,distinctive name
Won't download past 97%,Not Relevant,,,,,,,
Laggy on the opening and update of information but enough for quick access check .,Not Relevant,,,,,,,
"An interactive app would be far more useful. INPUT Activity I want to undertake? Personal details? Employment details? Reason for activity? PROCESS Verification process. OUTPUT. Approval /Denial /More information - contact Barcode issued to applicant on approval. Applicant issued with a description ...
 Full Review",Directly Relevant,Sense of belonging,,,,,interactive app ,An interactive app would be far more useful.
Dear Gov Oz good overall but if time ask those negative reviews e.g. force closure what system they use....keep up good work... we pray to Jesu Mary's Health bless us,Not Relevant,,,,,,,
It hasn't updated. Supposed to update at 9:00 AM daily.,Not Relevant,,,,,,,
Lite info and few updates ... than news media,Directly Relevant,Helpful,,,,,Lite info and few updates,Lite info and few updates
"It would be great to have more questions to finetune the definition of self isolation. Some people considered themselves as self isolated but still bring their kids to the supermarket just to get them some fresh air or still go to buy their coffee with potential. Asking about external interaction an...
 Full Review",Not Relevant,,,,,,,
Simple and good idea. Bit too basic maybe? Detailed state specific laws/restrictions/action s would be good. Like a dos and don't list. Interactive Graphs and charts of case numbers would be good too. Didn't find anything I didn't already know and not engaging. ABC webpage more informative,Directly Relevant,Helpful,,,,,ABC webpage more informative,Didn't find anything I didn't already know and not engaging. ABC webpage more informative
"Can the app please display the graphs, especially the initial graph that shows the rate of infection? I, and I'm sure others, would like to see how we're actually tracking and whether we really are flattening the curve.",Not Relevant,,,,,,,
Doesn't update statistics daily.. ???,Not Relevant,,,,,,,
Could you please add death's into the current status per state? And also if possible total hospital capacity per state as well. Much appreciated.,Not Relevant,,,,,,,
Helpful but needs much more detailed information,Directly Relevant,,,,Helpful,,,
"I think the app has obviously improved since it started judging by previous comments, still needs improvements tho... Including; can you guys add a notification button (only) once a day, or for emergencies, that sends you an email or text. Most apps have this.. And most importantly for some of us, i...
 Full Review",Directly Relevant,,,,Helpful,Incorporating User Feedback,improved,obviously improved
"Everyone here is bitching about the app, the last thing they need to focus on is building a high tech app, Spotify has ads, Facebook, all social media platforms,Google, the news, commercials ...When all it comes down to is just pure common sense and care for the community and listen to the restricti...
 Full Review",Directly Relevant,,,Inclusiveness?,,,"community, restrictions", pure common sense and care for the community and listen to the restrictions
Fast deployment but would be nice to have an in-app web browser which I've seen other apps do. It's less disjointing for the UX with screen readers for people who are blind.,Directly Relevant,,,Inclusiveness,,,blind people,It's less disjointing for the UX with screen readers for people who are blind.
"To limited, laws and regulations not found. Distancing and quarantine requirements? Breach reporting not easy. Recommendations and legal requirements not differenated.",Directly Relevant,Helpful,,,,," not found, not easy, not differentiated, limited",
"App is a great idea. The news and media section is in randomized order e.g. 20th March, next article is 10th of Jan then back to 18th of March. Please update and order on recency of information.",Directly Relevant,,,,Helpful,,great,App is a great idea.
"Love the counter, though it might be slightly outdated like the rest of the site. Today's stage 3 is not even there yet.",Directly Relevant,,,,Pleasure,,love,Love the counter
A good start. Needs a big button at the top for 'current restrictions',Not Relevant,,,,,,,
Would be better if news and updates are in chronological order.,Not Relevant,,,,,,,
"The ""Current status"" fails with message ""Unfortunately Coronavirus has stopped""",Not Relevant,,,,,,,
Crashes every time I select 'current status',Not Relevant,,,,,,,
Initial Release ... by the time they get it right the dammed virus will be over !!! Oh Yeah ... WASH YOUR HANDS ??,Directly Relevant,Capable,,,,,,
Can we just change the name of this app to something else please I really hate to have that name popped up on my screen?? Had enough of this name already.,Directly Relevant,Pleasure,Healthy,,,,,
Nothing about how normal people will get paid that had to stand down last week I had a job this week not sure how I will pay the next bills . Companies will all ways be ok what about the workers in retail,Directly Relevant,,,Inclusiveness,,,normal people,Nothing about how normal people will get paid
"They attack us with bio warfare, and the government makes an app. STRAYA!",Not Relevant,,,,,,,
"App is handy for being a single point of contact for government information on COVID-19. However, it does have some issues. Firstly, most information opens in the web browser, instead of in the app, which is clunky . Secondary, the infection status is updated less often than the press releases, and ...
 Full Review",Directly Relevant,Pleasure,,,Helpful,,clunky,"Firstly, most information opens in the web browser, instead of in the app, which is clunky"
No better then the website. Still SA cases updated slowly. No actual information or map where confirmed case are. It takes ages to find that information on any of your site's. If any information at all. News outlets have much better updates.,Directly Relevant,Helpful,,,,, no actual information,No better then the website.
"App for apps sake, lots of links to websites nothing of real value here. We need contact tracing alerts, real time data to help minimise the spread. WhatsApp chanel is more useful despite being a copy of the WHO channel.",Directly Relevant,Helpful,,,,,,App for apps sake
"It is a good initiative. Many of the tabs take us to external links where information is scattered. I did not feel like I was using an app, while searching in those sites.",Directly Relevant,Helpful,,,,,scattered information,"I did not feel like I was using an app, while searching in those sites."
"Case figure is NOT updated real time.... And DON'T have the geographic distribution map of confirmed cases.... Good start, need improvement",Not Relevant,,,,,,,
So basically it takes you to the online website rather than having information in the app itself. However I guess it saves you time from going on google to go to the website.,Not Relevant,,,,,,,
Good way to get government advice but the app is basically just a bunch of links to the government website. Seems to work reasonably well though,Not Relevant,,,,,,,
"It's handy as a central list of links. That's about it though. As someone else said, it's just stuff that is all on the government sites anyway.",Directly Relevant,,,,Helpful,,handy,It's handy as a central list of links.
Doesn't seem to have as much information as your WhatsApp chatbot. Was hoping we'd get all the links & news updates available from there.,Directly Relevant,Helpful,,,,,,Doesn't seem to have as much information as your WhatsApp chatbot.
Poor quality of statistics and of intrastate distribution within health regions. A lot of news dates back to January and us not relevant and acts a information overload.,Directly Relevant,Helpful,, information overload,,, information overload, A lot of news dates back to January and us not relevant and acts a information overload.
"Just installed this and my first thought was ""how about other languages for non-English-speaking users?"". Just an idea.",Directly Relevant,,,inclusiveness,,,non-English-speaking users,how about other languages for non-English-speaking users?
"Its ok. Very basic, doesnt give you information like current restrictions, rules and timelines of things coming in palce and different rules between states.",Directly Relevant,,,,Helpful,,,"Its ok. Very basic, doesnt give you information "
Prime minister made in announcements few hours ago and at this still not updated to latest info... re 2 people rule in public,Not Relevant,,,,,,,
Very helpful. Lot to improve however it's a very good start. Thank you for the initiative...,Directly Relevant,,,,Helpful,,helpful. ,Very helpful. 
App shuts down when checking current status,Not Relevant,,,,,,,
"Provides links to other resources, which is kind of useful if you don't otherwise know where to go.",Directly Relevant,,,,Helpful,,useful,which is kind of useful if you don't otherwise know where to go.
I like the idea but I'm worried about being tracked by the Federal Government....for my own good of course and the community at large.,Directly Relevant,Privacy,,,,,being tracked, I'm worried about being tracked by the Federal Government
Why does this app appear like a political ad campaign?,Not Relevant,,,,,,,
"It leads you to the government website, can't understand what is the point of making an app if that's what it does. Also Current Status doesn't update promptly, I'd rather follow daily News. Three star for trying, but you might need to try harder.",Directly Relevant,Helpful,,,,,,can't understand what is the point of making an app if that's what it does.
"Meh...it's ok, but mostly just links out to external sites. I had already found the info for myself that is contained in here. I guess it might be handy if you're not good at finding stuff for yourself.",Directly Relevant,,,,Helpful,,handy,I guess it might be handy if you're not good at finding stuff for yourself.
Meh. All is does is link out to external resources,Directly Relevant,Helpful,,,,,,All is does is link out to external resources
"I saw a headline in news and media saying like 'We are not italy, spain or iran'... But we all knew where it began.",Not Relevant,,,,,,,
Look for a question section where we can ask questions,Not Relevant,,,,,,,
The NT count is 15 not 14,Not Relevant,,,,,,,
Not a bad app but as mentioned previously the infection status needs to be closer a lot closer to real time.,Not Relevant,,,,,,,
"Not bad, but needs a couple tweaks. The current status would be good to have a historical graph of total cases and case growth over time.",Not Relevant,,,,,,,
Needs to have a reload pull down screen and each states current affected cases by post codes and restrictions what's been put in place..thanks,Not Relevant,,,,,,,
Is it ok to go to my daughter's house for dinner,Not Relevant,,,,,,,
Lacking information updates which seems to be a typical thing,Not Relevant,,,,,,,
"Okay, this app keeps consumers informed and offers a dialect about what to do if you need to do something/anything. However, the app has zero allowance for inquiry; no room to question the ongoing situation. I don't disregard the media as an institution but its reporter's are sometimes off the beate...
 Full Review",Directly Relevant,,,,Helpful,,consumers informed,this app keeps consumers informed and offers a dialect about what to do if you need to do something/anything
This app brings together all the gov websites.. We'll done.. But it's COVIDSafe you want. That tracks your interaction. Real value is knowing the active cases and our exposure.. I really want to keep safe,Directly Relevant,,,,Helpful,,,This app brings together all the gov websites.. We'll done..
Is this the app to detect the virus?,Not Relevant,,,,,,,
I can't find much. No different for a week?,Directly Relevant,Helpful,,,,,,I can't find much
Its functionality is nothing more than a mobile website. Maybe future functions are more app-related like bluetooth contact tracking but currently it is below an app's standard.,Directly Relevant,Helpful,,,,,,Its functionality is nothing more than a mobile website. 
If the pubs aren't opened by the end of May I will delete it. It only works if it works for all scomo,Not Relevant,,,,,,,
The car park is a good,Not Relevant,,,,,,,
"Needs to open menu in app and not redirect to browser. Map can be improved to show cases vs. deaths, increase or decline in case numbers etc. It can be more informative than it currently is.",Directly Relevant,Helpful,,,,,,It can be more informative than it currently is.
Tried to register my isolation. Kept on failing. This app needs some work. :D,Not Relevant,,,,,,,
"The App has to be real time ,similar to Vic app which mentions about bush fire in your region. Will be more helpful to all user about their suburb and filtering virus free zone.",Directly Relevant,,,Inclusiveness,,,all user,Will be more helpful to all user about their suburb and filtering virus free zone.
I personally would like to be able to see who is covid19 positive near me and all so the should be able to warn me as it was done in Korea..,Directly Relevant,Privacy,,,,,,be able to see who is covid19 positive near me
"Meh. Key numbers not visible. I just want number of tests, positive and negative results, per day, per state. Tabular and graphical formats.",Not Relevant,,,,,,,
Good to have reliable info. Would be nice to have option of changing font size - some parts are hard to read without a magnifier.,Directly Relevant,Independent,,Accessibility,,reliable info.,,Good to have reliable info.  have option of changing font size - some parts are hard to read without a magnifier.
"Data is superficial. Would love to see graphs, historical stats, something of the curve, cases within each region.",Not Relevant,,,,,,,
"We are not testing high risk workers e.g. airline workers, who were showing mild symptoms, they are being rejected by"" testing centers"" in hospitals. So the facts are not accurate.",Not Relevant,,,,,,,
"Works as expected, an information manager, not a source (otherwise the app would need updating daily). Helps to get at relevant, reliable information, without needing to hunt around the web myself to find it.",Directly Relevant,,,,Helpful,Reliable info,reliable information,"Helps to get at relevant, reliable information, without needing to hunt around the web myself to find it."
"I would like to see better data regarding total number of tests performed, and number of cases resolved by recovery, not just of death. A time vs cases plot with ""active"", ""recovered"", and ""deaths"" would be ideal. Please integrate this data if you have it. It will help Australians understand the gov...
 Full Review",Not Relevant,,,,,,,
Simple and to the point. Pretty good effort. Surprised that android an iOS apps were made rather than just a web app.,Directly Relevant,,,,Helpful,Simplicity,simple. to the point,Simple and to the point. 
"GREAT on a national level. Would be so much better if we could have State tabs as well... Seeing as Victoria seems to have the toughest guidelines in the country. Would be great to keep up with my own state. But love the features... Symptom Checker, Register. ?? ??",Directly Relevant,Sense of belonging,,,Helpful,,my own state.,Would be great to keep up with my own state.
"Very good but I cannot getit onto the main screen for quick access! I am supposed to attend a conciliation meeting between my residents and the golf club we live opposite over a long standing issue. So will the meeting take place given the maximum of 2 persons allowed to meet ? I assume it cannot do...
 Full Review",Not Relevant,,,,,,,
A good way to find covid-19 information. Many of the links to to the Department of Health web site. Many of these pages are not very legible with web browsers in dark mode.,Directly Relevant,,,,Helpful,Accessibility,legible,Many of these pages are not very legible with web browsers in dark mode.
"Good and easier to use than government websites in regards of advice, updates and restrictions. Is compiled websites, but again much easier to find the information than on other platforms",Directly Relevant,,,,Helpful,"Simplicity, Useability",Easier to use,easier to use than government websites
Including daily line graphs would be a nice upgrade. But great app and lots of info. Thanks.,Directly Relevant,,,,Helpful,,But great app and lots of info,
Good information. Especially pulling it altogether at short notice.,Directly Relevant,,,,Helpful,,,pulling it [all info] altogether at short notic
"Excellent app, only thing it needs is it's own browser.",Directly Relevant,Independent,,,,,,only thing it needs is it's own browser.
"Great effort, guys! Please sort the news in reverse chronological order - latest first.",Not Relevant,,,,,,,
"Good, would be great to filter down to areas more",Not Relevant,,,,,,,
"Has potential, lots of links and resources",Not Relevant,,,,,,,
Information all in one place which is good.,Directly Relevant,,,,Helpful,"Simplicity, ease of use",,Information all in one place which is good.
Current status button causes a crash?,Not Relevant,,,,,,,
SMART initiative to start with. Good work team.,Not Relevant,,,,,,,
Can you rename it to be consistent to - COVID-19?,Directly Relevant,,,Inconsistent with the norm (here nromal name),,,,
Very helpful ap,Directly Relevant,,,,Helpful,helpful,,
"Provides up to date details on the case count. However, basically every feature in this app asks to be opened in your internet browser. I could do that myself without an app helping... Can't you get all sources and information on the app to open WITHIN the app itself? It got a high 4/5 for me just b...
 Full Review",Directly Relevant,Independent,,,,,,Can't you get all sources and information on the app to open WITHIN the app itself? 
"Great that we finally have an app that has all relevant information for Australia. This is the first time an app like this is required for such an event, so it's very basic, but does the job. Would like to see more work on map - Eg. John Hopkins, more features, interactive, etc.",Directly Relevant,,,,Helpful,,,Great that we finally have an app that has all relevant information for Australia
"Have to hand it to the gov, this app is good! Easy to use, clean interface, very responsive, intuative and just nice all round! Only thing I would want is a dark theme and that is purely a personal thing. Well done gov, well done!",Directly Relevant,,,,Healthy,Useability (ease of use),,"Easy to use, clean interface, very responsive, intuative and just nice all round!"
Please add state by state 'new cases' and a graph for the country and states. This will help citizens to understand if controls measures are improving transmission or inadequate. Great app to see data from the source,Directly Relevant,Sense of belonging,,,Helpful,,,Please add state by state 'new cases' and a graph for the country and states.
Excellent information source. However it would be useful if the news items were sorted by the most recent. Thank you for providing this app.,Directly Relevant,,,,Helpful,,,Excellent information source.
Decent stable but basic app. Works for what it has but would like to see more stats/filters.,Not Relevant,,,,,,,
It's an informative and easy to use app. There should be a link to resources in other languages too,Directly Relevant,Equality,,inclusiveness,Helpful,useability (easy to use),other languages ,There should be a link to resources in other languages too
Make sure the info is totally up to date with announcements made by the Australian Prime Minister in real time.,Not Relevant,,,,,,,
Would be nice if there was more local information about exactly where the new cases are popping up.,Directly Relevant,,,inclusiveness,,,local information,Would be nice if there was more local information
News articles to be sorted by date and time please,Not Relevant,,,,,,,
itd be more useful if the known infections were broken down into smaller regions than just state summaries.,Directly Relevant,,,inclusiveness,,,,itd be more useful if the known infections were broken down into smaller regions
"Very easy to use , has all the answers I asked",Directly Relevant,,,,Helpful,useability (ease of use),,
Excellent. More stats would be good.,Not Relevant,,,,,,,
Very easy to use,Not Relevant,,,,,useability (ease of use),,
Ok. Would be great to drill into which suburbs or council regions are the worst hit by case numbers.,Directly Relevant,,,inclusiveness,,,,drill into which suburbs or council regions 
"Gives us access to all the information we need, Much better than reading about how someone's uncle was talking to the daughter of some Chinese scientist.",Not Relevant,,,,,,,
Can U plz add more detail of the infection suburbs.,Directly Relevant,,,inclusiveness,,,,more detail of the infection suburbs.
You should update how many people recover,Not Relevant,,,,,,,
"This already rolled out app has a lot of potential. 1) to deal with misinformation and rising public anxiety, the content needs to be continually updated as soon as fact checked and referenced. 2) consider mandatory self isolation registration to make state specific law and enforcement more effectiv...
 Full Review",Directly Relevant,Healthy,Social order,"psychological harm, law compliance",,,public anxiety, rising public anxiety; to make state specific law and enforcement more effectiv.
"Ok, it's mostly hyperlinks to webpages but that is the most efficient use of time and results in speedier communication, rather than delays in the information being re-packaged and reformatted for the app. Safer to point to published webpages as well with access to dynamic and updated content.",Directly Relevant,,,,Family security,Safety; easy access,Safer,Safer to point to published webpages as well with access to dynamic and updated content.
Great information all in one place but would be great if the news section displayed in chronological order so we get the most recent information and advice first without having to look for it.,Directly Relevant,,,,Helpful,easy access to info,,Great information all in one place
"Easy to access and use, but updates are outdated ie today is 4/4 and into is 1/4",Directly Relevant,,,,,Useability (ease of use),,Easy to access and use
Cant self register,Not Relevant,,,,,,,
Nice for Australian info but it would be nice to include world stats and deaths,Not Relevant,,,,,,,
"Being a high risk person I installed the app, put in details. I was told to see my gp which I did and even had the test. The app doesn't allow you to report that you have done it and for you to say that you don't have COVID19 . I think that would be something that should have been added.",Not Relevant,,,,,,,
All I get is Aust gov site. Where is app?,Not Relevant,Helpful,,,,,,
"Very useful. Concise, well presented. Told me what l need to know. Thanks",Directly Relevant,,,,Helpful,,"useful, Concise","Very useful. Concise, well presented."
"I'm giving it 4 stars as I think it's a good idea for tracking the virus but it will only work if others download it. I need it as I deliver food to 15 - 35 people six days a week, and I certainly would like to know who I am coming across, I also think all retail workers should definately download i...
 Full Review",Directly Relevant,Wisdom,Responsible,,Responsible,,,"it will only work if others download it;  I certainly would like to know who I am coming across, I also think all retail workers should definately download i..."
"I'm happy to be a part of this, if this can help save lives. That's great.",Directly Relevant,,,,Responsible,"Universalism (wisdom); Security (safety, sense of belonging)",save lives;,"I'm happy to be a part of this, if this can help save lives. "
Thankyou for getting this app. Now everyone pls get it,Directly Relevant,Responsible,,,Responsible,,,Thankyou for getting this app. Now everyone pls get it
"I haven't tried it yet, But from What I can see . It doesn't hurt to know if you have been in contact with Someone carrying Covid 19.",Directly Relevant,,,,,harm,hurt, It doesn't hurt to know if 
"The App only allows you to register if you are isolating, what if you are working in frontline and still wants to opt in.",Directly Relevant,Equality,,inclusiveness,,,,"allows you to register if you are isolating, what if you are working in frontline and still wants to opt in."
If it helps it's a good thing I'm following a cyber security expert advice,Not Relevant,,,,,,,
I try and access the current status feature and the program just quits. Problem is fixed.,Not Relevant,,,,,,,
"Amazing experience,tho the app didn't give that much information but its a good tracker,4 stars",Not Relevant,,,,,,,
"As other reviews have said, this app is basically a glorified collection of links to various government pages. HOWEVER I have had zero problems with app stability.",Not Relevant,,,,,,,
Glad to see the notifications open directly now.,Not Relevant,,,,,,,
"Since the last update, status is now working. App looks a lot better now.",Directly Relevant,,,,,Accommodating user feedback,,
Very pleased to have a quick reference point during a time of exceptional circumstances and constant change THANKS,Directly Relevant,,,,Helpful,,,
It's very useful and gives me peace of mind,Directly Relevant,,,,Helpful,,"useful, peace of mind",useful and gives me peace of mind
"Crucial app you need to survive this disease that was definitely not released by any government or grouping of people to quell the overwhelming amount of people that are alive. This app it had too many similarities to plague Inc, but the story was the biggest failure of it all. I mean truly, who wou...
 Full Review",Directly Relevant,,,,,,,
"I am reviewing in response to the current most highly rated negative review. TLDR this is not spyware. Storing data on Amazon Web Services (AWS) is no real concern. AWS *does* have servers in Australia. It is very stable, and any sensitive data collected by the app (which afaik is *all* voluntary) w...
 Full Review",,,,,,,,
A must have app. Works seamlessly in the background and makes me feel more confident that I will know if I've been exposed to the virus. Everyone should have it,,,,,,,,
Let stop the spread of Covid19!,,,,,,,,
to get us bak 2normal...,,,,,,,,
It tells me what I need to know.,,,,,,,,
"2 O,44. ? Got ýi.",,,,,,,,
"I beleive that if this app tracks the corona 19 and protects spread of infections it is a Mabel of an invention, thanks to croatorand the Government to provided for Australia's, one thing we all forget to pray for God's help to help to develop vaicin. Stay safe obey the rols.",,,,,,,,
"I was dubious about putting this App on my phone , like a lot of other people , but had second thoughts , and thought , it it's better to be safe than sorry ! Rgds , FRANK LOMBARD .",,,,,,,,
Phone does not allow me to install so hope this will.,,,,,,,,
Good info and helpful app,,,,,,,,
"Coronavirus is the information of the most dangerous sickness in the world. The first time in the world that we have to work together and help each other for this reason we should all stay-at-home and try not to have a visitor and if we could get together and must fallow all the important informatio...
 Full Review",,,,,,,,
Very helpful and much needed transparency,,,,,,,,
"Seems fine. I like the symptom checker. Status by State is only 2 hours old, which is fine. Good, actually. Everything is in one place, and pretty easy to read.",,,,,,,,
Can you please add area local section so people can see how many cases in the local area,,,,,,,,
"Simple, informative and useful. Great app",,,,,,,,
Thanks shared to my family these should be must to every australian who have access,,,,,,,,
Great informative app.,,,,,,,,
Cause Aour Federal Attorney General Christian Porter said so followed by Sky Channel's Paul Murray Live and public advice is well needed. Good to stay updated.,,,,,,,,
"The links in this app take you straight to the relevant government page, saving hours of scrolling and searching. It contains everything you need to keep informed including links to transcripts of latest government announcements. I think it's excellent so far.",,,,,,,,
"First App that I had with no 'In-App' purchases. Winning!! Great app for isolation, finding it hard to pass the first initial stage, hope the game developers make the second stage alot easier to pass.",,,,,,,,
"Much better than ABC data which doesn't give specific data I have noted the 1 star are ANTI LNP & again far left turning Disaster/Crisis into political point scoring agenda This app is to give specific info Not overload people with useless data If you want specific state - Not federal gov data - go ...
 Full Review",,,,,,,,
"App is fast, starts up well, yet to have any bug issues.",,,,,,,,
"There are so many things which can be added. How is government tracking the infected or even the interstate travellers honesty that they are self isolating. How do I know if my neighbour is infected or needs to self isolate. Can I report them through app. Can I also report anything through the app w...
 Full Review",,,,,,,,
"Very good 1st step in difficult times. Simple, straight-forward information.",,,,,,,,
Makes it easy having the relevant info in one spot and at hand,,,,,,,,
Good central source of information not twisted by the media to create disquiet.,,,,,,,,
It would be good to see number of infected in each suburb and region.,,,,,,,,
Works well and up-to-date information.,,,,,,,,
Great effort in very short time. Keep updating,,,,,,,,
Useful for avoiding misinformation online. Please share around!,,,,,,,,
Very informative and straight forward app,,,,,,,,
Thank you. Works. Shared 5341,,,,,,,,
Thank you Australian Government for all you do for us,,,,,,,,
Nice to have my finger on the pulse great initiative,,,,,,,,
Good up to date information,,,,,,,,
Stay safe we'll pull through,,,,,,,,
Thank you very much to do very good job for Australia,,,,,,,,
"This app has collected links to all the relevant coronavirus information in Australia making it a rather convenient portal for official information. It also has a live case counter which is pretty cool. Given the app was only released yesterday (28 March 2020) and has probably had a relatively short...
 Full Review",,,,,,,,
Well done writing an app in such a short period of time. App has official case numbers and basic information. Looking forward to what other information gets added. I'd love to see a official list of new rules as there seem to be new ones every day.,,,,,,,,
"Basic information app with links. .. This has symptom checker, latest stats on cases but mostly links to australia.gov website sections and iso guidelines. .. It's good the government has organised something for essential information. Hopefully they took their ideas from the NZ official website.",,,,,,,,
All in one place make it easier ?? But news and stats need to be updated later in the day. 6.00 in the morning is to late. twice a day would be beter. Already all their stats are old,,,,,,,,
"Great resource. Shows high level stats, links to numbers, etc. Useful. Fantastic to have different ways to get the messages out",,,,,,,,
"Finally, no need to go around looking at random websites for info. All here. And good to see there's a health checker. Good to have.",,,,,,,,
Seems pretty good. Hoping more information including live updates on infection locations is included in future versions.,,,,,,,,
Much needed app in current situation. All required information packed in single app.,,,,,,,,
It great to have an update on our phone especially for us olderly for our protection and health. Thank you,,,,,,,,
"People sooking about an App that the government hastily put together to keep Australians informed, need to sit down, have a cuppa and pull their heads out of there Bums. Thank you for putting this together at such short notice and sorry for the sad no hopers complaining about this App.",,,,,,,,
"App is a Good link to resources and information, would be better if news updates were a bit more regular, 6 in the morning is not what I would call up to date",,,,,,,,
Excellent. Need one source of the truth. Media reports often don't cover the depth required to understand the details,,,,,,,,
Great app with links to trustworthy information.,,,,,,,,
Not bad mate keeps me updated be better if it was more detailed as in shows regional areas that have the virus,,,,,,,,
Very Usefull. Atleast An Hour to Hour update Required.,,,,,,,,
"AN APP THAT IS 100% WORTH HAVING ON BOTH iOS & ANDROID SYSTEMS... Official and upto date information from the Australian Governments and Australian Medical Services, without the constant hype and mixed information by the Media. All The Facts that people of all age groups actually need to know about ...
 Full Review",,,,,,,,
Great resource with overview of key info in one place. ??,,,,,,,,
Got everything that I was looking for through this one app. Thanks for creating this!,,,,,,,,
"Great resource, very up to date and reputable.",,,,,,,,
"Great app, all the relevant info in one spot ??",,,,,,,,
Good app for federal government statements and statistics.,,,,,,,,
"This is way better than getting fake news from little Hitlers than with twisted intentions try to act like mini Rupert Murdoch, thank you.",,,,,,,,
This a very useful and well thought out app.,,,,,,,,
May I suggest that supermarkets use a one -way flow of shoppers. This will reduce the number of shoppers crossing paths with each other and minimize the possible community spread . Regards Paul Dolman,,,,,,,,
Very helpful and useful information.,,,,,,,,
Great app for keeping informed via a credible sources. Information at your fingertips.,,,,,,,,
Great app to stay updated with what is going on,,,,,,,,
Great effort throwing this together so fast. Keep updating and it'll be sweet,,,,,,,,
"Gives me everything I need, from the primary info sources. ... A real comfort",,,,,,,,
Great an well needed too keep up too date!!!,,,,,,,,
Very informative and useful combating the spread of COVID-19,,,,,,,,
Fantastic resource!.. thank you,,,,,,,,
Great tool for keeping aware.,,,,,,,,
Very helpful informative app,,,,,,,,
fantastic info easy to understand,,,,,,,,
"All the facts in the one app, its good.",,,,,,,,
A good front end to reliable government sourced information. Thanks,,,,,,,,
Works well. Does what is advertised.,,,,,,,,
"Thank you Australia, for making this app.",,,,,,,,
